순번,용어,용어설명
4261,수지식,"발,변전소로부터 인출된 배전 계통이 부하의 분포에 따라서 수지상으로 분기선을 내면서 각 방면으로 이르는 것. 분기선을 연장 또는 증강해서 쉽게 대응할 수 있는 장점이 있으나, 사고가 일어나면 다른 계통으로 전환을 시킬 수 없으므로 정전을 면할 수 없거 나 전압 변동 및 전력 손실이 크다는 결점이 있다. 방사식이라고도 한다."
4262,수직리치개폐장치,설치기내에서 절연물에 의해 지지된 고정접촉자가 있는 개폐장치.
4263,수직벽지지형 배전반,"수직 개방형 배전반으로, 벽지지틀로 배전반을 고정시키고 전면에 전기기기의 제어, 보호 및 계측기기를 부착하되 계기류는 조작개폐기 상부에, 계전기 류는 조작계폐기 하부에 설치한 배전반."
4264,수직연소법,"수직연소법은 화로(furnace) 상부 아치부에서 밑으로 향해서 미분탄류를 분사 연소하는 연소법. 화염은 일반적으로 U자형이 되고 연소속도 가 느리며 화염의 통로를 길게 해야 한다. 무연탄과 같이 휘발분이 적은 석탄을 연소하는데 적합하다. 버너는 주로 편평류 버너가 사용되며, 여기에는 kalmet burner, triple-point burner, inter-tube burner등이 있다. Kalmet burner는 그 대표적인 것으로"
4265,수직축풍력터빈,수직축 또는 바람을 가로지르는 축으로 된 풍력터빈 또는 회전자.
4266,수차,"수력 즉, 물이 지닌 압력 수두, 속도 수두에 의해서 회전되는 원동기. 종류로는 팰턴수차와 프란시스 수차 등이 있다."
4267,수첨분해시설,"VDU에서 생산된 VGO(감압경유)를 촉매가 채워진 고온·고압의 반응기에서 수소와 반응시켜 분해하는 시설. 생산제품은 LPG, 납사, 등유, 경 유이며 경유가 주 제품임. 수첨분해시설은 FCC와는 달리 촉매가 고정상(Fixed Bed)으로 반응기에 채워져 있어 일정기간이 지나면 오염된 촉 매를 재생시키기 위해 가동을 중지시켜야 하며, 다량의 수소를 사용할 뿐만아니라 촉매의 오염문제 때문에 B-C를 직접 처리못하고 VGO만 처리가 가능함. 그러나"
4268,수치도화기,촬영된 한 쌍의 사진을 이용하여 사진에 촬영된 내용물들을 전산화된 화일의 형태로 그려내는 장비이다.
4269,수치지형도,"등고선을 이용하여 땅의 기복, 형태, 수계의 배열 등의 지형을 정확하고 상세하게 나타낸 지도인 지형도를 컴퓨터에서 사용할 수 있도록 디지 털(digital)의 형태로 변환한 것을 말한다."
4270,수치표고모형,Digital Elevation Model의 약자로서 지형 기본도 상에서의 표고 데이터의 디지탈과 동등한 Fine 그리드의 교선에 기록되고 사변 형에 의해 조직된 지형고도에 관한 파일.
4271,에너지관리시스템,"전력계통운용의 자동화설비 중 가장 진보된 시스템으로서 종래의 AGC/SCADA 위주의 전력계통운용 컴퓨터시스템에서 주파수와 전압 제어는 물론 최 신 기술의 안전급전기능과 종합적으로 협력계획하여 제어하는 시스템. 계산기나 통신장치등을 이용하여 계통감시나 발전기의 경제운전, 주파수조정, 조류 와 전압등의 제어 및 기록, 통계, 운용계획등의 급전업무를 자동적으로 처리 실행한다. 약어로 EMS."
4272,에너지관리시스템,"전력계통의 원격감시 및 제어기능(SCADA), 자동발전제어(AGC) 및 경제급전기능(Economic Load Dispatch), 전력계통 해석기능, 자료의 기록 및 저장기능, 급전원 모의훈련기능 등을 수행하는 급전용 종합 자동화시스템"
4273,에너지기술,"에너지 생산, 변환, 사용 등에 관련된 모든 기술의 집합."
4274,에너지밀도(음장점),매질중의 어떤 부여된 미소부분으로 존재하는 에너지를 매질의 부분체적으로 나눈 것.
4275,에너지변형,"에너지 형태의 물리적 변화를 줌으로써 에너지를 재생, 생산하는 것. 예를 들면, 석탄 액화 등이 있다. 이와 유사한 용어중 에너지 전환 이 란 용어는 에너지 형태의 물리적 상황에서 아무런 변환도 주지 않고 에너지를 재생 혹은 생산하는 의미를 나타내는 데 자주 쓰인다."
4276,에너지사슬,에너지의 초기생산부터 최종 소비까지의 에너지 흐름. 한 개 또는 그 이상으로 연결된 에너지 사슬은 한 형태의 에너지로부터 다른 형태로의 변환을 의미한다.
4277,에너지사용합리화,"산업, 국민생활, 사회활동 전반에 걸친 에너지의 효율적 이용을 도모하는 것. 이 같은 과제는 제1차 오일쇼크 이후 선진공업국에서는 극히 현실적 인 정책과제로 부상하였으며 제2차 오일쇼크로 더욱 강화 되었음. 구체적인 추진방안으로는 각 산업에서의 에너지소비의 저하(자원절약, 에너지절약 기 술개발, 제품 이용면에서의 에너지절약(사용년수의 연장, 절전형기기의 보급)) 및 에너지 다소비형 산업의 축소와 에너지절약형 산업의 육성 등이 있 다. 1990년대"
4278,에너지서비스 사업자,"에너지효율화 서비스, 검침대행, 사용정보서비스, 컨설팅 서비스를 제공하는 스마트그리드 기반의 서비스 사업자. 스마트그리드 서비스 사업자와 동일함"
4279,에너지손실,"두 점 사이를 전력이 이동하는 경우, 어떠한 기간 동안에 생기는 입력 전력량과 출력 전력량의 차."
4280,에너지예측,미래에 발생가능한 에너지 사용량과 에너지 자원 고갈 등을 예측하는 것과 관련된 활동으로서 에너지경제에 영향을 미치는 요인들의 미래 가치를 예측하 는데 고려되는 활동.
4281,에너지의단계적이용,"에너지를 두 개 또는 그 이상의 공정에서 효과적으로 이용하기 위해 한 공정에서 사용한 후 남은 에너지가 이용 가능하면 다음 공정에 차례로 이용하 도록 하기 위한 일련의 에너지 이용의 흐름 또는 에너지량의 흐름. 에너지 사용과정에서 총괄효율을 증대시키는 것이 목적이며, 열에너지의 경우 각 단계에서의 초기에너지 엔트로피(entropy)증가는 열역학적 과정에 의해 엔탈피(enthalpy)의 감소를 가져온다."
4282,에너지의합리적이용,"경제목표를 실현함에 있어서 사회, 정치, 재정, 환경 등의 제한 여건을 고려한 소비자가 가장 적합한 방법으로 에너지를 이용하는 것."
4283,에너지의형태,"인간이 사용하는 에너지의 특성에 따른 형태. 고체연료 (Solid fuels), 액체연료 (Liquid fuels), 가스연료 (Gaseous fuels), 수력전기 (Hydropower), 핵에너지 (uclear energy), 전기에너지 (Electrical energy), 태양에 너지 (Solar energy), 생물에너지 (Biomass energy), 풍력 에너지 (Wind energy), 해양에너지 (Ocean energy), 지열에너"
4284,에너지이용,공급된 에너지로부터 유용한 에너지를 얻는 것.
4285,에너지자원,"에너지를 얻을 수 있는 자원. 석유, 석탄, 태양열, 수력따위."
4286,에너지저장시스템,"에너지 저장 시스템으로 에너지 저장장치와 에너지를 변환하는 장치 및 이를 제어하는 운영시스템을 포함하고 있다. 이차전지운영시스템의 경우 저장장치(Battery), 변환장치(PCS), 운영시스템(PMS)으로 구성되어 있음."
4287,에너지전환,에너지 형태에 물리적 변환를 주지 않고 에너지를 재생 혹은 생산하는 것.
4288,에너지절약,에너지 공급자와 사용자가 에너지의 낭비를 줄이기 위해 채택한 수단 또는 그로 인한 효과. 여기에는 소극적인 방법(단열)과 적극적인 방법(폐열이 나 가스의 활용)또는 조직적인 방법(수송수단의 변화) 등이 있다.
4289,에너지절약비용,"생산의 양적, 질적 변화를 초래하지 않고 1년간 단위 생산량당 에너지 한 단위를 절약하기 위해 필요한 지출."
4290,에너지절약전문기업,"70년대 말 미국에서 태동한 새로운 에너지절약 투자방식으로 현재 약 42여개 국가에서 시행중임. 에너지 사용자가 에너지절약을 위하여 기존의 에너지 사용시설을 대체, 개선하고자 하지만 기술적&경제적 부담으로 사업을 시행하지 못할 경우 에너지절약전문기업이 기술, 자금 등을 제공하고 투자시설에서 발생하는 에너지절감액으로 투자비를 회수하는 사업"
4291,에너지정책,"에너지의 생산과 공급, 에너지의 전환, 저장, 사용 그리고 국내적으로나 국제적으로 추정된 에너지 자원의 이용 가능량과 예상되는 전체 에너지 수요 를 동일하게 하는 방법에 관계된 국내정책 혹은 국내정책의 한 분야."
4292,발전증분비,전력 시스템에서 발전량의 증가에 대해 그에 따른 비용 증가의 비율. 유지 비용을 포함한 모든 가변적인 비용을 고려해야 한다.
4293,발전증분연료비,발전량의 증가에 대해 그에 따른 비의 증가비율. 주로 $/kWh로 표현되며 어떤 특정한 전원에 대해서도 사용된다.
4294,발전차액지원제도,"신재생에너지(태양광, 풍력, 연료전지 등) 발전에 의하여 공급한 전기의 전력거래가격이 지식경제부 장관이 고시한 기준가격보다 낮은 경우, 기준가격과 전력거래와의 차액(발전차액)을 지원해주는 제도"
4295,발전효율,"발전기에 투입하는 에너지에 대한 발전량의 비율. 현재 운용되고 있는 증기 터빈의 발전효율은 40~50%이며, 수력발전은 80~90% 정도이다. 건식 태양광발전이 8~15%, 풍력발전이 30%, 연료전지가 30~40%(전기효율의 경우 열효율 제외), 터빈식의 해양 온도차 발전이 2~3% 정도가 된다. 특히 화력발전의 경우 발전기 혹은 그 원동기에 투입하는 열에너지에 대한 발전기에서 얻을 수 있는 전기에너지의 비율을 발전단열효율(Generation Adiabatic Efficiency)이라고 하며, 투입에너지에 대해 발전시설에서 소비되는 에너지도 포함시키는 경우에는 송전단열효율이라고 한다. 예를 들어, 화력발전의 발전효율은 45~50% 정도이지만, 여기에 보일러 등에서 발생하는 열손실이 더해지는 발전단열효율은 39~43% 정도로 떨어진다. 나아가 투입 열에너지의 3~8% 정도가 발전시설 전체의 운용에 소요되므로 송전단열효율은 37~41% 정도로 떨어지게 된다. 일반적으로 화력발전소의 발전효율이라고 할 때는 송전단열효율을 가르키는 경우가 많다"
4296,방류량,단위 시간내에 어떤 단면을 흐르는 물의 양.
4297,방사,전자파의 형태를 위한 에너지 발사. 방사된 에너지를 가리키는 경우도 있다. 1. 사이클로트론등의 가속기에서 고에너지 입자의 흐름. 2.물체 속 또는 공간을 통하여 흐르는 여러 가지 종류의 전자파 에너지.
4298,방사계통,발전소나 변전소에서 전력공급을 위해 시설되는 독립적인 선로들이 상호 결합없이 방사상 형태로 구성된 계통. 방사상계통이라고도 한다.
